Date,Actual_Oilprice,ARIMA baseline,SARIMAX + oil + us-index,ANN + oil,ANN + oil + us-index
2011-08-12,82.862,,,,
2011-08-19,85.364,,,,
2011-08-26,85.056,,,,
2011-09-02,88.072,,,,
2011-09-09,87.905,,,,
2011-09-16,88.934,,,,
2011-09-23,83.652,,,,
2011-09-30,81.178,,,,
2011-10-07,79.434,,,,
2011-10-14,85.348,,,,
2011-10-21,86.818,,,,
2011-10-28,92.316,,,,
2011-11-04,93.244,,,,
2011-11-11,96.966,,,,
2011-11-18,99.31800000000001,,,,
2011-11-25,96.89,,,,
2011-12-02,99.90599999999999,,,,
2011-12-09,100.078,,,,
2011-12-16,96.064,,,,
2011-12-23,97.74,,,,
2011-12-30,99.81,,,,
2012-01-06,102.3875,,,,
2012-01-13,100.43199999999999,,,,
2012-01-20,99.945,,,,
2012-01-27,99.354,,,,
2012-02-03,97.8,,,,
2012-02-10,98.56,,,,
2012-02-17,101.726,,,,
2012-02-24,107.175,,,,
2012-03-02,107.52000000000001,,,,
2012-03-09,106.324,,,,
2012-03-16,106.15,,,,
2012-03-23,106.41000000000001,,,,
2012-03-30,105.122,,,,
2012-04-06,103.52250000000001,,,,
2012-04-13,102.55199999999999,,,,
2012-04-20,103.152,,,,
2012-04-27,103.78399999999999,,,,
2012-05-04,103.47200000000001,,,,
2012-05-11,96.984,,,,
2012-05-18,93.108,,,,
2012-05-25,90.88199999999999,,,,
2012-06-01,87.0575,,,,
2012-06-08,84.434,,,,
2012-06-15,83.27000000000001,,,,
2012-06-22,81.11,,,,
2012-06-29,80.226,,,,
2012-07-06,85.735,,,,
2012-07-13,85.78,,,,
2012-07-20,90.34,,,,
2012-07-27,88.876,,,,
2012-08-03,89.098,,,,
2012-08-10,93.14,,,,
2012-08-17,94.434,,,,
2012-08-24,96.224,,,,
2012-08-31,95.684,,,,
2012-09-07,95.675,,,,
2012-09-14,97.562,,,,
2012-09-21,93.702,,,,
2012-09-28,91.348,,,,
2012-10-05,90.814,,,,
2012-10-12,91.422,,,,
2012-10-19,91.59,,,,
2012-10-26,86.354,,,,
2012-11-02,85.87,,,,
2012-11-09,85.982,,,,
2012-11-16,85.866,,,,
